BEGINCOLETA,40,A1,0,0,2019-05-22T10:16:16.419Z,
device,n_scan,mac,reqID,time,id_coleta,len,first_word_invalid,noise_floor,rssi,rate,sig_mode,cwb,stbc,channel,secondary_channel,rx_state
#FRENTE,0,48F8B3C3BB6B,A1,44583,0,256,1,-92,-68,11,1,0,0,9,0,0,

100,-64,5,0,1,18,1,19,2,20,3,20,5,20,7,20,8,20,10,19,13,19,15,18,18,16,20,15,22,14,25,13,27,13,30,13,32,14,34,16,33,18,31,20,28,20,25,19,23,19,22,20,22,21,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,2,12,3,12,4,13,4,13,5,14,6,13,8,12,9,10,9,8,8,7,7,6,6,5,5,5,5,4,4,4,4,3,4,2,4,2,4,1,5,0,6,0,7,0,8,0,10,-1,11,-1,13,0,5,0,17,0,17,1,18,2,19,3,19,5,19,6,19,8,19,10,19,12,18,15,17,17,15,19,14,22,13,24,12,27,11,29,12,31,13,32,15,32,17,30,19,27,19,24,19,23,18,21,20,19,22,11,27,6,29,0,5,-1,1,-1,-1,-1,0,-1,-1,0,-1,2,-1,13,-5,13,-3,12,1,12,2,12,3,12,3,13,4,13,6,12,7,11,8,10,8,8,8,7,7,6,6,5,5,5,4,4,4,4,3,3,3,2,4,1,4,1,5,1,6,0,7,0,8,0,10,0,11,0,12,

#FRENTE,1,48F8B3C3BB6B,A1,45077,0,256,1,-92,-67,11,1,0,0,9,0,0,

100,-64,5,0,19,0,20,-1,21,-2,21,-3,21,-5,20,-6,20,-8,20,-10,19,-12,18,-14,18,-16,17,-18,16,-21,16,-23,16,-25,16,-27,18,-28,21,-29,23,-27,24,-24,24,-21,23,-18,22,-16,23,-14,24,-13,6,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-4,-7,-4,-7,-3,-7,-3,-7,-2,-8,-1,-8,-1,-7,0,-7,1,-6,1,-5,1,-3,1,-2,1,-2,1,-1,1,0,2,0,3,1,4,1,4,2,6,2,7,2,9,2,10,2,12,2,14,2,15,2,11,1,37,3,38,2,39,1,40,-1,40,-4,40,-7,40,-10,39,-13,38,-17,37,-20,36,-24,35,-28,33,-33,32,-38,32,-42,32,-46,34,-50,37,-52,41,-52,45,-50,48,-45,47,-39,46,-33,45,-30,46,-25,48,-19,51,-1,52,10,9,2,2,2,-2,0,0,0,-1,0,-2,-1,-3,-2,-13,-11,-10,-12,-7,-14,-6,-14,-5,-14,-4,-14,-3,-15,-2,-14,0,-14,1,-12,2,-10,3,-8,2,-6,2,-4,2,-2,2,-1,3,0,4,2,6,2,7,3,9,4,11,5,14,5,17,5,20,5,24,5,27,5,29,4,

#FRENTE,2,48F8B3C3BB6B,A1,49366,0,256,1,-94,-64,11,1,0,0,9,0,0,

126,97,23,0,2,-23,1,-24,0,-24,-1,-23,-2,-22,-3,-22,-5,-21,-6,-21,-7,-21,-9,-20,-10,-19,-12,-18,-14,-18,-16,-18,-17,-18,-18,-19,-19,-20,-18,-22,-17,-23,-15,-24,-12,-23,-9,-22,-8,-21,-6,-21,-5,-21,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,-4,-12,-3,-10,-2,-10,-2,-13,-1,-15,1,-15,3,-15,5,-14,6,-13,7,-12,7,-12,7,-11,7,-11,6,-11,6,-11,6,-12,5,-13,5,-13,4,-14,4,-15,3,-16,3,-18,3,-19,3,-20,3,-21,2,-22,1,-15,3,-46,3,-45,2,-45,1,-44,-1,-43,-4,-42,-6,-41,-9,-40,-11,-39,-14,-38,-17,-37,-20,-35,-23,-34,-27,-33,-31,-33,-34,-34,-36,-36,-36,-39,-35,-41,-32,-44,-28,-44,-23,-43,-18,-41,-15,-40,-12,-40,-7,-40,6,-39,15,-38,3,-7,1,-2,0,0,0,-1,-1,0,-2,-1,-3,-2,-16,-10,-12,-15,-9,-21,-6,-21,-3,-22,-1,-23,2,-26,4,-27,7,-27,10,-27,12,-26,14,-23,14,-21,14,-20,13,-20,13,-20,12,-21,11,-22,10,-24,9,-25,8,-27,7,-29,6,-31,6,-34,5,-36,5,-38,5,-40,4,-41,

